_id,Name,Sex,Type,Build,Age,Variety,Reason,AcceptNum,ChipNum,IsSterilization,HairType,Note,Resettlement,Phone,Email,ChildreAnlong,AnimalAnlong,Bodyweight,ImageName
11,,雌,犬,小,幼齡,米克斯,動物救援,104060304,,未絕育,黑,,臺北市動物之家 收容編號104060304,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/4fef417a-6ce3-4645-ad55-0593763eae60.jpg
12,,雄,貓,中,成年,米克斯,動物救援,104060215,,未絕育,黃白,,臺北市動物之家 收容編號104060215,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/b5de829d-bdaa-4109-bcb4-a59c7c40710d.jpg
13,,雄,犬,幼,幼齡,米克斯,動物管制,104060209,,未絕育,黑,,臺北市動物之家 收容編號104060209,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/60a6466c-1eff-405f-9994-bbbf5b044a64.jpg
14,,雄,犬,幼,幼齡,米克斯,動物管制,104060208,,未絕育,黑,,臺北市動物之家 收容編號104060208,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/28af5825-1438-412a-b568-fa7491f441d8.jpg
15,,雄,犬,幼,幼齡,米克斯,動物管制,104060207,,未絕育,黑,,臺北市動物之家 收容編號104060207 ,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/c85feb06-1284-4e0f-abf4-4541861616d3.jpg
16,,雄,犬,幼,幼齡,米克斯,動物管制,104060204,,未絕育,黑,,臺北市動物之家 收容編號104060204,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/6c7fcf0b-b47d-4023-9cef-8d61992b9f64.jpg
17,妞妞,雌,貓,中,成年,米克斯,民眾不擬續養,104052904,900073000023376,已絕育,黃虎斑,嗨~我是害羞的妞妞，希望可以很快的找到新家，快來認養我吧!,臺北市動物之家 收容編號104052904,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/8848be23-191f-4dab-a670-9c3fd668b78e.jpg
18,,雌,犬,幼,幼齡,米克斯,動物救援,104052706,,未絕育,黑,腹部、左後肢外傷；皮病,臺北市動物之家 收容編號104052706 ,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/b441cbbf-8558-4c4b-8700-1aaa8be8f618.jpg
19,嬌嬌,雌,貓,中,成年,米克斯,動物救援,104052404,,未絕育,虎斑,"哈囉~~
我是嬌嬌
超級無敵霹靂會撒嬌
看照片就知道了吧
一有機會我就會展現我的無敵磨磨功>O<
喜歡撒嬌親人的貓咪嗎
快來動物之家把我打包帶回家吧!!!!",臺北市動物之家 收容編號104052404,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/263f500a-c321-416f-b6d0-c1fb695c1d72.jpg
20,,雄,犬,大,成年,米克斯,動物救援,104052002,,已絕育,黑,"健康評估：
左後肢外傷
陰囊摘除
已絕育

行為評估：友善、親人、可觸碰撫摸",臺北市動物之家 收容編號104052002,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/bd0263d6-04a9-405a-88e7-c546532302b3.jpg
21,,雄,貓,中,成年,米克斯,民眾拾獲,104051917,,未絕育,虎斑白,"左眼角膜潰瘍
鼻氣管炎
右前肢潰爛",臺北市動物之家 收容編號104051917,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/dbfd0574-f255-44f7-be3a-84354946faf9.jpg
22,,雄,貓,中,成年,米克斯,動物救援,104051402,,未絕育,虎斑白,左前肢截肢,臺北市動物之家 收容編號104051402,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/02f1fcf7-4ba4-4bcc-823b-66b98f8169bd.jpg
23,奇奇,雌,貓,小,年輕,米克斯,動物救援,104051307,,已絕育,三花,"愛滋貓
貓愛滋小知識：
    貓愛滋病，是由貓免疫不全病毒 (反轉錄病毒科Retroviridae) 所傳播，中文全名就是貓免疫不全病毒感染症。貓愛滋病與人愛滋病是兩種不同的疾病，不單是致病原不相同，甚至是傳染途徑也不相同，而取名愛滋是因為疾病產生的症狀就是以免疫缺乏為表現，這一點的確是與人的愛滋病相當類似，所以就算貓愛滋病跟人愛滋病均會讓患者免疫抑制，但這兩者仍然是完全不同的疾病！
傳染途徑：
1.帶原貓咬傷或是抓傷所感染
2.貓胎盤垂直傳染給幼貓
3.目前並沒有報告指出貓愛滋經由性交所傳播
治療方式：
1.目前無特效藥物可供使用
2.一般的治療是對症治療，並且加強貓咪的抵抗力、補充營養，同時控制與避免繼發的二次性感染。
3. 現行的預防模式是定期施打預防針、減少其他疾病的存在；實施節育並且減少出門，以防止貓咪發情外出打架或是爭地盤。常出門的或是流浪過的貓咪盡早檢驗貓愛滋的帶原。
如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                 02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/6253fd02-37cd-439b-9fff-c4f39ea83cd4.jpg
24,布朗尼,雌,犬,小,年輕,貴賓,動物救援,104051305,,已絕育,咖啡黑,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                 02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/a3ce0366-e34a-4729-991d-32c4e3797c04.jpg
25,Demi,雌,犬,中,年輕,米克斯,,104051304,,未絕育,虎斑,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                 02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/fd68bbd0-4ba8-40f3-b137-a8de67ee8de5.jpg
26,小黑,雄,犬,大,年輕,米克斯,動物救援,104051303,,已絕育,黑,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                 02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/30a4b80d-a56c-4b02-ba4a-3fdda2d0705f.jpg
27,小白,雄,犬,中,成年,米克斯,動物救援,104051302,,已絕育,白,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                 02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/e816f0be-cefe-480c-aad0-99726450217d.jpg
28,May,雌,貓,幼,幼齡,米克斯,動物救援,104051301,,未絕育,三花,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣SPCA,"02-2367-0317, 2367-1905",adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/f5d06814-2828-4eac-843e-11cf3211e9a0.jpg
29,白甘蔗,雄,其他,小,年輕,寵物兔,動物救援,104051201,,已絕育,黑,本案件是由西港區一名蔡姓女士所遺棄，主要是因小孩在寵物店看到可愛的幼兔，便買了一公一母回家飼養，5個月後母兔就懷孕生產8隻，隔5個月後生幼兔又具有繁殖能力再生，兔兔家族已累積到目前18隻，再養下去整個家都快成兔窩了，因此將兔兔全數送進收容所。,台北市愛兔協會,0922560178,service@rabbit.org.tw,是,否,,http://163.29.39.183/uploads/images/medium/ce24b67f-b049-4b81-a563-e46cd348f009.jpg
30,包菁仔,雄,其他,中,年輕,寵物兔,動物救援,104050108,,已絕育,棕,"志工組隊前往汐止檳榔攤進行寵物兔飼養關懷案件
案件中的兩兔兔都是男生
包菁仔(黃)，路人送給檳榔攤的兔子
包葉仔(灰)，屏東山上親友拾獲後交與攤位小姐飼養
經過溝通後
飼主並無主觀上的不當飼養犯意
只因臨時接手別人不養的兔子且缺乏正卻飼養觀念
導致兔兔的居住與健康狀況較差
之後原飼主願放棄飼養並完成讓渡手續
改由協會接手照顧
並於健康之後再安排送養",社團法人台北市愛兔協會,0922560178,service@rabbit.org.tw,是,否,,http://163.29.39.183/uploads/images/medium/183e3003-1262-43b7-9e05-4761d782309c.jpg
31,萬涂淑麗,雄,其他,中,年輕,寵物兔,,104050106,,已絕育,黑白,兔兔姓名：萬得蓮(女三、Wonderla) 兔兔年紀：三歲以內 (2014/12/23 救援兔僅能預估） 性　　別：女生 萬里老夫妻，兔兔緊急求助案 典型的飼養生育失控案,社團法人台北市愛兔協會,0922560178,service@rabbit.org.tw,是,否,,http://163.29.39.183/uploads/images/medium/8e54fe69-ca25-4c4c-ae83-eceda4a5e125.jpg
32,關廟麵,雌,其他,中,年輕,米克斯,動物救援,104050105,,已絕育,棕,"本案件是由西港區一名蔡姓女士所遺棄，主要是因小孩在寵物店看到可愛的幼兔，便買了一公一母回家飼養，5個月後母兔就懷孕生產8隻，隔5個月後生幼兔又具有繁殖能力再生，兔兔家族已累積到目前18隻，再養下去整個家都快成兔窩了，因此將兔兔全數送進收容所。
",社團法人台北市愛兔協會,0953908805,service@rabbit.org.tw,是,否,,http://163.29.39.183/uploads/images/medium/281bbe86-f393-4e9d-a869-08919f54b296.jpg
33,湯若望,雄,其他,小,年輕,寵物兔,動物救援,104050103,,已絕育,白,"居住在泰山地區的外籍大學生
之後因故返回家鄉
將兩隻兔子直接移棄在所居住的宿舍
該校的天主教傳教士發現後
隨即協助做緊急收容並帶兔兔給醫師做檢查
之後根據流程通報給愛兔協會
並在跟志工相約的時間
將兔兔帶到愛兔之家作後續的照顧
兩隻兔兔都有明顯的疥癬
暫時需做隔離照顧
=========================================
2014.10.30 疥癬治療完畢",社團法人台北市愛兔協會,0922560178,service@rabbit.rog.tw,是,否,,http://163.29.39.183/uploads/images/medium/31237cb8-25aa-499e-bfa4-4e57482b027d.jpg
165,耶耶,雄,犬,中,成年,米克斯,動物救援,103021310,,未絕育,黃,"我是耶耶，
我在找一個家，一個溫暖的家，有沒有人願意帶我回家呢？！
",臺北市動物之家 收容編號103021310,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/d1c75be2-9761-4d67-8fbb-d0ac215b39f9.jpg
34,妙管家,雄,其他,小,年輕,寵物兔,動物救援,104050102,,已絕育,白,"被住戶趁清潔公司清掃時偷偷遺棄的幼兔 - 妙管家
一則來泰山國中老師的通報
這位老師的朋友任職於清潔公司
而清潔公司的職員於年底接案打掃社區時
遭住戶趁機丟棄寵物
這個惡劣的住戶是趁清潔公司員工在打掃時
偷偷將不要的寵物(一貂、二天、二兔)
塞進清潔公司專用的大工作包內
直到清潔公司職員工作完畢回去之後整理工具包時發現
其中一隻貂、兩隻天豬已經死亡，僅剩兩隻幼兔
隨後請求任職於泰山國中的老師求援
案件之後由協會緊急接手照顧",社團法人台北市愛兔協會,0922560178,service@rabbit.org.tw,是,是,,http://163.29.39.183/uploads/images/medium/7840a2fc-dbf0-44cd-a812-4ee7cad1923f.jpg
35,統一獅,雌,其他,中,年輕,寵物兔,動物救援,104050101,,已絕育,棕,愛兔協會志工執行收容關懷任務，並從收容所帶兔兔回來照顧的兔兔。本次關懷案件中一次共自各地收容所帶出4+2隻兔兔，其中兩隻(同一單位攜出)取名為環肥與燕瘦，另外四隻(另一單位攜出)的命名部份，事逢台灣正在進行總關冠軍決賽，因此志工將四隻兔兔分別以四支球隊做命名。(統一獅、兄弟象、義大犀牛、辣米糕),社團法人台北市愛兔協會,0922560178,service@rabbit.org.tw,可,否,,http://163.29.39.183/uploads/images/medium/1228c1c8-ddfe-4ac9-8204-a50ff5250c53.jpg
36,,雌,犬,小,年輕,米克斯,民眾拾獲,104050103,,未絕育,黑,"健康評估：
眼膿；
下巴、四肢趾間皮膚病
行為評估：友善、親人",臺北市動物之家 收容編號104050103,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/1646ea2a-b7ad-4530-ae88-f6a4c25286a5.jpg
37,皮蛋,雄,犬,小,幼齡,米克斯,動物救援,104042922,,未絕育,黑,"皮病
嗨~我是皮蛋，給我個機會，帶我回家吧!",臺北市動物之家 收容編號104042922, 02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/3288a0de-7774-4737-94c9-329d3062ff12.jpg
38,,雌,犬,中,老年,米克斯,動物救援,104042803,,未絕育,黑,"健康評估：4/28施打八合一及狂犬病疫苗
行為評估：友善、親人、可觸碰撫摸",臺北市動物之家 收容編號104042803,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/10c171c0-8084-47a2-b829-bd4bc87e7f57.jpg
39,Jacky,雄,犬,中,年輕,米克斯,,104042602,,已絕育,黑,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,"02-23670317, 2367-1905",adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/4cc509ae-fe20-4757-9f19-171c48fb9a92.jpg
40,米奇,雄,犬,大,年輕,米克斯,動物救援,104042601,,已絕育,黑,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,"02-2367-0317, 1905",adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/8e86722e-4950-4ccd-9d16-86698bf517c7.jpg
41,Moon,雄,犬,中,成年,米克斯,動物救援,104040903,,未絕育,灰,"嚴重皮病、皮膚腫塊；眼膿

我是Moon
每次只要感受到籠外有人靠近
我就會迫不及待的想出去散步
我不會吵鬧
我只想要有個安穩的家
可以天天在家人陪伴下散步
給我滿滿的安全感還有愛保護我
希望你們不要嫌棄我
讓我也有幸福的機會!",臺北市動物之家 收容編號104040903,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/a29b5de3-809e-4b40-9c2b-253703dc18fe.jpg
42,,雄,貓,大,年輕,米克斯,動物救援,104040412,,未絕育,黃白,貓白血病、右後肢趾骨折,臺北市動物之家 收容編號104040412,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/520f8123-aa52-42c3-9919-026fac417098.jpg
43,東山ㄚ頭,雌,其他,大,成年,寵物兔,動物救援,104033101,,已絕育,棕白,"兔兔姓名：東山ㄚ頭
預估歲數：約1.5歲（2014.11 救援兔僅能預估）
性　　別：女生
善化收容所棄兔群緊急協助案件
本案件是由西港區一名蔡姓女士所遺棄，主要是因小孩在寵物店看到可愛的幼兔，便買了一公一母回家飼養，5個月後母兔就懷孕生產8隻，隔5個月後生幼兔又具有繁殖能力再生，兔兔家族已累積到目前18隻，再養下去整個家都快成兔窩了，因此將兔兔全數送進收容所。",台北市愛兔協會,0922560178,service@rabbit.org.tw,需評估,需評估,,http://163.29.39.183/uploads/images/medium/c50e053b-7f00-4918-9152-e1134b5363fb.jpg
44,沙莉,雌,犬,中,年輕,米克斯,動物救援,104033003,,未絕育,虎斑,"我是沙莉
是個親人乖巧的女生
喜歡被摸摸還有撒嬌
最近手手受傷了
你們可以帶我回家好好照顧我嗎~",臺北市動物之家 收容編號104033003,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/c8dda87f-12ff-4fad-b8fc-c4cb7d150014.jpg
45,漢堡,雄,犬,小,幼齡,米克斯,動物救援,104032812,,未絕育,黑,嗨!我是漢堡，快來認養我吧!,臺北市動物之家 收容編號104032812,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/8b034773-977f-45aa-8023-1d4f0f56a820.jpg
46,西瓜,雄,貓,中,老年,米克斯,民眾不擬續養,104032826,,已絕育,黑白,"左上犬齒掉牙

大家好我叫西瓜
一開始來到陌生環境的我比較緊張
但是經由幸福轉運站的志工們用好多的耐心愛心和時間陪伴我之後
現在的我撒嬌本能又被激發出來囉
如果想要認識我請先聯繫幸福轉運站唷~~",臺北市動物之家 收容編號104032826,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/c197c792-494b-4d80-9923-f0637a707eff.jpg
47,蛋糕,雌,犬,中,成年,米克斯,動物救援,104032006,,未絕育,黃,"我是蛋糕
有著媽媽綁太緊般的犀利眼神
外型是不是有些神似柴犬呀
雖然我覺得我比柴柴可愛啦~XD
我的個性還是比較內向唷
互動時動作可別太大
這樣可是會嚇到我的喔!",臺北市動物之家 收容編號104032006,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/2e4ad35f-c471-4365-bc98-bddd9019554f.jpg
48,小黃,雄,犬,中,老年,米克斯,民眾不擬續養,104031802,900138000407408,已絕育,黃,"我是小黃爺爺~
我的個性乖乖的穩穩的
而且很會看家喔~
帶我回家讓我來保護你的安全~",臺北市動物之家 收容編號104031802,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/10b4b7dc-5ca0-4de9-a075-ca473127d433.jpg
49,哺哺,雌,犬,小,年輕,米克斯,動物救援,104031809,,未絕育,黑,"我是哺哺
有點害羞
但是可以摸摸
要有耐心才能讓我知道你不會傷害我喔！",臺北市動物之家 收容編號104031809 ,02-87913062 ,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/2b1ba3fb-e227-4996-b6ba-a8f05e610912.jpg
50,澎澎,雌,犬,中,成年,米克斯,動物救援,104031804,,未絕育,黑,"母；全身皮病；右眼角膜潰瘍、水腫

我是澎澎
活潑親人
趕快把我帶回家
讓我好好展現撒嬌功力吧!!",臺北市動物之家 收容編號104031804,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/f50a2c93-6501-4a45-83d7-cf5603a8e4de.jpg
51,哆咩,雌,犬,中,成年,米克斯,動物管制,104031605,,未絕育,黃,"疑似懷孕

我是超級好媽媽哆咩
經過工作人員努力的帶領我社會化後
現在的我已經可以摸摸了唷~
快點趁假日來動物之家與乖巧的我約會吧~",臺北市動物之家 收容編號104031605,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/22f6fe16-fb36-4d26-a036-4a26d514dd94.jpg
52,香蕉,雌,犬,中,成年,米克斯,動物管制,104031604,,未絕育,黃,"我是芭娜娜~可愛的香蕉
眼神無辜
有著令人憐惜的外表
但我的個性比較謹慎
需要些時間
慢慢學習與人互動唷
喜歡我就來動物之家看看我吧!",臺北市動物之家 收容編號104031604,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/e5b2d72b-0e24-455f-823a-591abcda14c1.jpg
53,咖姆,雌,犬,大,成年,米克斯,動物救援,104031306,,未絕育,咖啡,"我叫咖姆
我懂得用吠叫來嚇走我感到有威脅性的陌生事物
如果要找顧家的好狗
如果要找顧家的好狗
選我就對了！",臺北市動物之家 收容編號104031306,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/aac701bd-f7be-4b84-9b71-58de50bbae7b.jpg
54,松子,雌,犬,中,成年,米克斯,動物救援,104031303,,未絕育,棕,"頭、右肩部多處散彈槍傷
我是松子
我的傷口好得差不多囉~
快來動物之家跟乖巧的我互動吧~",臺北市動物之家 收容編號104031303,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/18922c09-80e3-4d57-8805-92ec294c68c2.jpg
55,馬尼,雄,犬,中,年輕,米克斯,,104031208,,已絕育,黑,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                      02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/1802a533-2d35-4623-a2ce-727f486433b5.jpg
56,幸運,雌,犬,小,年輕,米克斯,動物救援,104031107,,未絕育,黑,"我是幸運
個性可愛親人
非常喜歡被摸摸
你蹲著的時候我還會主動找你討抱抱唷>O<
趕快來動物之家找我
等著被我的熱情給融化吧~~~~",臺北市動物之家 收容編號104031107,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/fc07536f-7b87-4224-b246-33b8503a1eba.jpg
57,大阪燒,雌,犬,小,年輕,米克斯,動物救援,104031106,,未絕育,黑,"我是大阪燒
跟啾比還有幸運住在同一間犬舍
比起他們我雖然稍嫌害羞
對於摸摸我也有點小緊張
不過我還是會嘗試著與大家互動唷
再給我一些時間
多多互動我一定可以表現的越來越棒呀^O^",臺北市動物之家 收容編號104031106,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/4e074ef0-8160-4c5e-80b0-8166c1b501e6.jpg
58,呱呱,雌,犬,中,成年,米克斯,動物救援,104031103,,未絕育,黑,"我是呱呱
是個溫馴親人的女生
對不熟悉的人會比較謹慎
但只要接觸動作不要一開始就太大
稍微給我聞一聞
我一下下就可以摸摸互動囉!
喜歡我趕快來動物之家找我唷~~~~",臺北市動物之家 收容編號104031103,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/601184f7-c05c-4b93-9235-3e4ca9684986.jpg
59,小歪,雌,犬,小,年輕,米克斯,動物救援,104030501,,未絕育,黑,"我是小歪，看到人會高興的搖尾巴
但其實個性有點害羞，如果太快靠近我會嚇到我唷~
先讓我聞聞手手，認識一下你的味道
很快的我就會喜歡上你囉~
這麼溫柔的狗勾還不趕快來認養~",臺北市動物之家 收容編號104030501,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/ad1d60a9-1a2b-4e62-ac23-7a5745773490.jpg
60,小奇奇,雄,犬,中,成年,米克斯,民眾不擬續養,104030106,900138000388243,未絕育,白,哈囉~我是個性害羞慢熟的小奇奇，我會懂得定點大小便，也喜歡玩拋接球的遊戲唷!喜歡我嗎?快來動物之家認養我吧!,臺北市動物之家 收容編號104030106,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/affa801e-b587-49be-91c6-3bb549a852ba.jpg
61,小YG,雄,其他,大,成年,寵物兔,動物救援,104022402,,已絕育,灰白,"兔兔姓名：小YG
預估歲數：約兩歲（2013/06/19）
性　　別：男生

新竹地區的棄養案件
由拾獲者通報後送到愛兔之家做後續照顧
歪頭部份不可逆，但病情已獲得控制
可以像一般正常兔一樣照顧與自理
認養需有飼養兔經驗",台北市愛兔協會,0922560178,service@rabbit.org.tw,需評估,需評估,,http://163.29.39.183/uploads/images/medium/35900f92-2c04-42b1-8854-4486d8fd3791.jpg
70,宮寶,雄,貓,小,年輕,米克斯,動物救援,104021713,,已絕育,黃白,"如欲認養， 請填寫網上申請
http://www.spca.org.tw/online-application.html",台灣防止虐待動物協會,02 2367-0317                         02 2367-1905,adoptions@spca.org.tw,,,,http://163.29.39.183/uploads/images/medium/aa4e0c4a-9d17-4b31-a466-b33ab35839e8.jpg
62,高雄黑輪大王,雌,其他,大,成年,寵物兔,動物救援,104022401,,已絕育,黑白,"兔兔姓名：高雄黑輪大王
預估歲數：約1.5歲（2014.11.28 救援兔僅能預估）
性　　別：女生

民眾高雄路邊拾獲的棄養兔
晚上九點多要開車回家的路上，在隔壁巷子的路中間發現兔子在馬路上跑，之後有去問過附近住戶，但是都不是他們養的，只好先帶回飼養並通報愛兔協會",台北市愛兔協會,0922560178,service@rabbit.org.tw,需評估,需評估,,http://163.29.39.183/uploads/images/medium/ab074f7a-bc19-46ce-861b-954a29b881ea.jpg
63,黑毛,雄,犬,小,年輕,米克斯,民眾不擬續養,104021703,900073000029284,未絕育,黑,"我是小壯壯黑毛
個性比較悶騷
其實超級活潑愛玩
但只表現給熟悉的人
不過我還是很乖唷
趕快帶我回家陪我玩耍吧^O^",臺北市動物之家 收容編號104021703,02-87913062,tcapoa8@mail.taipei.gov.tw,,,,http://163.29.39.183/uploads/images/medium/cd3cc1a5-5c34-42f4-b4ce-590331df058f.jpg
